year,co2_ff,co2_tot,co2_lu
1977,5.044022383419689,6.310270010362695,1.2662476269430054
1978,5.200335550586311,6.353346705208618,1.1530110149986366
1979,5.348098164166894,6.507890561221707,1.159792117807472
1980,5.316185219525498,6.446233306790292,1.1300480872647942
1981,5.189264510499045,6.365947462230706,1.1766829517316608
1982,5.148047602945186,6.30258400654486,1.1545365432233434
1983,5.181396995909463,6.4525146964821385,1.2711179798200163
1984,5.361065852195256,6.771722332151623,1.4106564799563677
1985,5.541289852195256,6.877908926097628,1.3366187946550314
1986,5.623739305154078,6.940407832015272,1.3166685268611946
1987,5.80015437142078,7.062786303790564,1.262631792746114
1988,6.028048126533951,7.256299684755932,1.22825155822198
1989,6.111380559585492,7.298649778020181,1.1872689391873468
1990,6.201889090809927,7.374285595854922,1.172396505044996
1991,6.335099566948459,7.483746085628579,1.1486462394327788
1992,6.1525902067084814,7.3501893427870195,1.197599275702209
1993,6.216289876193073,7.3870539012817025,1.1707640949004636
1994,6.260280268339242,7.573320813744205,1.3130402661576221
1995,6.393674489228252,7.693431797109354,1.2997570286337607
1996,6.58468637251159,7.904843815653123,1.3201574431415326
1997,6.625274415053177,8.444375369511862,1.819100814835015
1998,6.599954500136351,8.000123008453777,1.4001685083174258
1999,6.6852640043632405,8.068689959094629,1.383425675484047
2000,6.880327208071994,8.117656538860103,1.2373293307881104
2001,6.939500836651214,8.075282988819199,1.1357823616034906
2002,7.1000418085628585,8.3866862197982,1.2866444112353423
2003,7.4620960392691575,8.851067287701119,1.3889711088082903
2004,7.805902014725934,9.053868993727844,1.2479668393782384
2005,8.07172872866103,9.189785376602128,1.1180564385055904
2006,8.339168375238614,9.604503421870739,1.265335186255795
2007,8.587358944095993,9.690875741478049,1.1035167973820563
2008,8.74441602617944,9.873096918461957,1.1286804035996727
2009,8.61832356476684,9.85345912844287,1.2351352844286883
2010,9.091932081810745,10.258787761112627,1.1668560981728935
2011,9.398721588219253,10.716184853013363,1.3174632647941096
2012,9.536581532587947,10.811858343059724,1.2752768104717753
2013,9.62086284810472,10.798062407417508,1.177199140441778
2014,9.689553226070359,10.934083787292066,1.2445308404690483
2015,9.679212138532861,10.979158776111264,1.2999470564494138
2016,9.667297212980639,10.677271177529317,1.0099739645486774
2017,9.796313952549768,10.795190627761114,0.9988762563403327
2018,9.992631535314972,11.04459201308972,1.0519604079629126
2019,10.007948810471776,11.051147623670577,1.0431989528224708
2020,9.492185673302428,10.367559068448324,0.8753730460867194
